Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE22196754396086,Wed Mar 04 05:13:02 CET 2020,-2216.76,EUR,Omnis debitis expedita aperiam quis labore.
Jos,BE69771770897312,BE77368712464490,Tue Mar 10 03:12:37 CET 2020,-3059.12,EUR,Quam consequatur dolorem delectus non enim vel.
Jos,BE69771770897312,BE72070129905419,Sat Mar 07 06:15:01 CET 2020,-3508.8,EUR,Aut deserunt laboriosam.
Jos,BE69771770897312,BE61570746437301,Tue Mar 03 14:30:59 CET 2020,3028.61,EUR,Laudantium voluptatem aut.
Jos,BE69771770897312,BE30521744384289,Thu Mar 05 05:03:43 CET 2020,2789.53,EUR,Ea blanditiis aspernatur dolor est cupiditate animi.
Jos,BE69771770897312,BE67025209024119,Thu Feb 20 13:19:05 CET 2020,761.66,EUR,Deserunt ipsum quos.
Jos,BE69771770897312,BE89348867905611,Tue Mar 10 04:57:06 CET 2020,768.61,EUR,Cupiditate cum in praesentium dolorem sit sequi.
Jos,BE69771770897312,BE34537665009640,Tue Mar 10 02:28:59 CET 2020,-3106.7,EUR,Fugiat illum autem laudantium voluptatem.
Jos,BE69771770897312,BE79016015964527,Mon Mar 09 08:11:55 CET 2020,-3682.44,EUR,Non consequuntur nam sed est quam.
Jos,BE69771770897312,BE75378731786586,Tue Feb 18 14:18:21 CET 2020,326.97,EUR,Rerum ut praesentium explicabo officiis.
Jos,BE69771770897312,BE80018533168150,Mon Mar 09 06:02:26 CET 2020,-1467.93,EUR,Vero quam mollitia sit.
Jos,BE69771770897312,BE29439958635360,Mon Mar 02 10:11:18 CET 2020,-2623.04,EUR,Amet unde fuga saepe est eos eligendi.
Jos,BE69771770897312,BE81519185855111,Mon Mar 09 01:42:35 CET 2020,3084.12,EUR,Distinctio odio est ea sit ipsum.
Jos,BE69771770897312,BE73277586570483,Thu Feb 27 11:14:16 CET 2020,1435.19,EUR,In aut quisquam expedita voluptatem enim minima debitis.
Jos,BE69771770897312,BE92442956416025,Wed Mar 11 07:30:48 CET 2020,-502.85,EUR,Et esse unde voluptas odit accusantium officia consectetur.
Jos,BE69771770897312,BE17472446620245,Sat Mar 07 10:32:53 CET 2020,-2610.58,EUR,Dolore dolore sint.
Jos,BE69771770897312,BE03809283152884,Mon Mar 02 00:34:54 CET 2020,-1641.41,EUR,Est deleniti neque.
Jos,BE69771770897312,BE87764908613655,Sun Feb 23 10:06:03 CET 2020,4555.68,EUR,Aut numquam esse eligendi deleniti consequatur officiis ut.
Jos,BE69771770897312,BE50810379531204,Wed Mar 04 19:31:41 CET 2020,476.99,EUR,Aut quia quod.
Jos,BE69771770897312,BE24569587095616,Wed Feb 19 13:01:14 CET 2020,-3769.28,EUR,Eos adipisci et.
Jos,BE69771770897312,BE47467219290384,Mon Mar 09 17:24:43 CET 2020,-1012.6,EUR,Quod aut blanditiis.
Jos,BE69771770897312,BE14758287614286,Thu Feb 20 14:31:17 CET 2020,3929.07,EUR,Ea eligendi minima ratione impedit perspiciatis ipsum dolorem.
Jos,BE69771770897312,BE48063828109179,Mon Mar 02 16:08:41 CET 2020,2560.29,EUR,Aspernatur minima laboriosam.
Jos,BE69771770897312,BE16468868775845,Mon Mar 09 11:24:13 CET 2020,-27.19,EUR,Corporis architecto aut qui doloribus qui est.
